# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
2317.TW,TW,0.093000,Hon Hai Precision Industry Co Ltd
INTU,US,0.092900,Intuit Inc
PSX,US,0.092600,Phillips 66
TT,US,0.092000,Trane Technologies PLC
VRT,US,0.091200,Vertiv Holdings Co
GSK.L,GB,0.090800,GSK PLC
8058.T,JP,0.089800,Mitsubishi Corp
NET,US,0.089100,Cloudflare Inc
CMCSA,US,0.089100,Comcast Corp
HWM,US,0.089100,Howmet Aerospace Inc
SAN.PA,FR,0.088900,Sanofi SA
USB,US,0.088300,US Bancorp
6861.T,JP,0.087900,Keyence Corp
MRSH,US,0.087400,Marsh & McLennan Cos Inc
CSX,US,0.087100,CSX Corp
GD,US,0.086800,General Dynamics Corp
CDNS,US,0.086400,Cadence Design Systems Inc
PNC,US,0.086400,PNC Financial Services Group Inc/The
RELIANCE.NS,IN,0.085600,Reliance Industries Ltd
SLB,US,0.084400,SLB Ltd
BARC.L,GB,0.084300,Barclays PLC
WMB,US,0.084300,Williams Cos Inc/The
ICE,US,0.083900,Intercontinental Exchange Inc
DUK,US,0.083900,Duke Energy Corp
MELI,US,0.082900,MercadoLibre Inc
MMM,US,0.082600,3M Co
PWR,US,0.082300,Quanta Services Inc
DASH,US,0.082200,DoorDash Inc
HDFCBANK.NS,IN,0.082000,HDFC Bank Ltd
CEG,US,0.081800,Constellation Energy Corp
8766.T,JP,0.080900,Tokio Marine Holdings Inc
TMUS,US,0.080700,T-Mobile US Inc
LLOY.L,GB,0.080000,Lloyds Banking Group PLC
IFX.DE,DE,0.079700,Infineon Technologies AG
BN.TO,CA,0.078800,Brookfield Corp
JCI,US,0.078500,Johnson Controls International plc
SPOT,US,0.078300,Spotify Technology SA
8001.T,JP,0.078200,ITOCHU Corp
CP.TO,CA,0.078000,Canadian Pacific Kansas City Ltd
GLEN.L,GB,0.078000,Glencore PLC
EMR,US,0.077700,Emerson Electric Co
ENEL.MI,IT,0.077600,Enel SpA
SNPS,US,0.077300,Synopsys Inc
NAB.AX,AU,0.076600,National Australia Bank Ltd
AMT,US,0.076600,American Tower Corp
WBC.AX,AU,0.076600,Westpac Banking Corp
SU.TO,CA,0.076100,Suncor Energy Inc
BA.L,GB,0.075900,BAE Systems PLC
MSI,US,0.075000,Motorola Solutions Inc
ANZ.AX,AU,0.074700,ANZ Group Holdings Ltd
EOG,US,0.074500,EOG Resources Inc
WM,US,0.074500,Waste Management Inc
O39.SI,SG,0.074000,Oversea-Chinese Banking Corp Ltd
REGN,US,0.073900,Regeneron Pharmaceuticals Inc
